Date,Open,High,Low,Close,Adj Close,Volume
2012-10-22,2.350430,2.353710,2.301120,2.343850,2.122348,13192058
2012-10-23,null,null,null,null,null,null
2012-10-24,2.307690,2.333990,2.307690,2.320840,2.101512,4160279
2012-10-25,null,null,null,null,null,null
2012-10-26,2.297830,2.304410,2.212360,2.222220,2.012212,8719555
2012-10-29,2.222220,2.232080,2.192640,2.212360,2.003284,4158995
2012-10-30,2.218930,2.235370,2.209070,2.209070,2.000305,3466602
2012-10-31,null,null,null,null,null,null
2012-11-01,null,null,null,null,null,null
2012-11-02,null,null,null,null,null,null
2012-11-05,null,null,null,null,null,null
2012-11-06,2.251810,2.251810,2.212360,2.228800,2.018170,2893429
2012-11-07,null,null,null,null,null,null
2012-11-08,null,null,null,null,null,null
2012-11-09,2.179490,2.192640,2.156480,2.159760,1.955655,2483689
2012-11-12,null,null,null,null,null,null
2012-11-13,2.182770,2.182770,2.074290,2.077580,1.881241,8774189
2012-11-14,2.080870,2.103880,2.071010,2.100590,1.902076,3931925
2012-11-15,null,null,null,null,null,null
2012-11-16,2.021700,2.021700,1.988820,2.015120,1.824684,3926568
2012-11-19,2.024980,2.034850,2.005260,2.034850,1.842549,2422004
2012-11-20,null,null,null,null,null,null
2012-11-21,2.034850,2.054570,2.008550,2.051280,1.857427,3393603
2012-11-22,2.051280,2.051280,2.024980,2.034850,1.842549,3075124
2012-11-23,2.038130,2.047990,2.028270,2.034850,1.842549,2574539
2012-11-26,2.034850,2.041420,2.015120,2.018410,1.827663,1956995
2012-11-27,null,null,null,null,null,null
2012-11-28,1.929650,1.936230,1.867190,1.877050,1.699662,2744188
2012-11-29,1.886920,1.896780,1.840890,1.844180,1.669898,2644830
2012-11-30,null,null,null,null,null,null
2012-12-03,null,null,null,null,null,null
2012-12-04,1.804730,1.840890,1.785010,1.834320,1.660970,3007710
2012-12-05,1.834320,1.949380,1.824460,1.916500,1.735384,8550797
2012-12-06,null,null,null,null,null,null
2012-12-07,1.919790,1.982250,1.906640,1.969100,1.783013,9175636
2012-12-10,null,null,null,null,null,null
2012-12-11,null,null,null,null,null,null
2012-12-12,1.969100,1.978960,1.946090,1.969100,1.783013,5052306
2012-12-13,null,null,null,null,null,null
2012-12-14,null,null,null,null,null,null
2012-12-17,2.064430,2.074290,2.034850,2.051280,1.857427,8103434
2012-12-18,2.054570,2.097300,2.041420,2.051280,1.857427,9079305
2012-12-19,null,null,null,null,null,null
2012-12-20,2.080870,2.123600,2.064430,2.094020,1.896127,8340613
2012-12-21,2.094020,2.166340,2.064430,2.130180,1.928870,19877303
2012-12-24,2.123600,2.136750,2.097300,2.126890,1.925891,9725760
2012-12-25,2.120320,2.218930,2.103880,2.192640,1.985427,18286274
2012-12-26,2.182770,2.320840,2.182770,2.307690,2.089605,27264733
2012-12-27,null,null,null,null,null,null
2012-12-28,2.238660,2.301120,2.218930,2.261670,2.047934,13308807
2012-12-31,2.255100,2.271530,2.209070,2.251810,2.039006,12948352
2013-01-04,2.251810,2.271530,2.222220,2.251810,2.039006,9013108
2013-01-07,2.235370,2.261670,2.232080,2.255100,2.041985,7840785
2013-01-08,2.261670,2.301120,2.261670,2.291260,2.074728,12932156
2013-01-09,2.294540,2.297830,2.251810,2.264960,2.050913,8822487
2013-01-10,2.264960,2.281390,2.238660,2.251810,2.039006,6106949
2013-01-11,null,null,null,null,null,null
2013-01-14,2.209070,2.278110,2.195920,2.274820,2.059841,10106357
2013-01-15,null,null,null,null,null,null
2013-01-16,null,null,null,null,null,null
2013-01-17,2.294540,2.314270,2.258380,2.261670,2.047934,6487457
2013-01-18,null,null,null,null,null,null
2013-01-21,2.294540,2.317550,2.287970,2.314270,2.095563,10413824
2013-01-22,2.314270,2.333990,2.255100,2.268240,2.053883,9494894
2013-01-23,2.261670,2.274820,2.222220,2.268240,2.053883,7523909
2013-01-24,2.268240,2.278110,2.182770,2.195920,1.988397,7831285
2013-01-25,null,null,null,null,null,null
2013-01-28,null,null,null,null,null,null
2013-01-29,2.235370,2.264960,2.232080,2.258380,2.044955,5495421
2013-01-30,null,null,null,null,null,null
2013-01-31,null,null,null,null,null,null
2013-02-01,2.347140,2.386590,2.340570,2.363580,2.140213,12422362
2013-02-04,2.376730,2.403020,2.347140,2.366860,2.143183,8092094
2013-02-05,2.343850,2.376730,2.337280,2.366860,2.143183,5999457
2013-02-06,null,null,null,null,null,null
2013-02-07,null,null,null,null,null,null
2013-02-08,null,null,null,null,null,null
2013-02-18,2.393160,2.403020,2.370150,2.389880,2.164027,8109899
2013-02-19,null,null,null,null,null,null
2013-02-20,null,null,null,null,null,null
2013-02-21,2.393160,2.426040,2.340570,2.373440,2.149141,14176346
2013-02-22,null,null,null,null,null,null
2013-02-25,null,null,null,null,null,null
2013-02-26,2.350430,2.373440,2.314270,2.317550,2.098533,5481532
2013-02-27,null,null,null,null,null,null
2013-02-28,null,null,null,null,null,null
2013-03-01,null,null,null,null,null,null
2013-03-04,null,null,null,null,null,null
2013-03-05,2.399740,2.465480,2.399740,2.458910,2.226534,12099713
2013-03-06,null,null,null,null,null,null
2013-03-07,2.524650,2.593690,2.472060,2.518080,2.280112,16359869
2013-03-08,null,null,null,null,null,null
2013-03-11,null,null,null,null,null,null
2013-03-12,null,null,null,null,null,null
2013-03-13,null,null,null,null,null,null
2013-03-14,null,null,null,null,null,null
2013-03-15,null,null,null,null,null,null
2013-03-18,null,null,null,null,null,null
2013-03-19,null,null,null,null,null,null
2013-03-20,null,null,null,null,null,null
2013-03-21,2.439180,2.478630,2.426040,2.455620,2.223555,8337243
2013-03-22,null,null,null,null,null,null
2013-03-25,null,null,null,null,null,null
2013-03-26,null,null,null,null,null,null
2013-03-27,2.465480,2.501640,2.439180,2.468770,2.235462,7165242
2013-03-28,2.495070,2.537800,2.449050,2.465480,2.232483,24011208
2013-03-29,null,null,null,null,null,null
2013-04-01,null,null,null,null,null,null
2013-04-02,2.501640,2.521370,2.435900,2.445760,2.214627,7622339
2013-04-03,null,null,null,null,null,null
2013-04-08,2.445760,2.445760,2.445760,2.445760,2.214627,0
2013-04-09,null,null,null,null,null,null
2013-04-10,2.416170,2.426040,2.389880,2.403020,2.175926,3724044
2013-04-11,2.409600,2.416170,2.386590,2.399740,2.172956,3372078
2013-04-12,2.399740,2.419460,2.380010,2.380010,2.155090,3776053
2013-04-15,2.393160,2.416170,2.380010,2.389880,2.164027,3559806
2013-04-16,2.386590,2.403020,2.357000,2.396450,2.169977,4021189
2013-04-17,null,null,null,null,null,null
2013-04-18,null,null,null,null,null,null
2013-04-19,2.455620,2.531230,2.455620,2.508220,2.271184,13988338
2013-04-22,2.488490,2.527940,2.472060,2.514790,2.277133,8288972
2013-04-23,2.511510,2.511510,2.432610,2.445760,2.214627,6223293
2013-04-24,2.409600,2.478630,2.393160,2.475350,2.241420,10294569
2013-04-25,null,null,null,null,null,null
2013-04-26,2.426040,2.435900,2.357000,2.360290,2.137234,5188961
2013-05-02,2.360290,2.360290,2.360290,2.360290,2.137234,0
2013-05-03,2.406310,2.465480,2.380010,2.429320,2.199740,8181602
2013-05-06,null,null,null,null,null,null
2013-05-07,null,null,null,null,null,null
2013-05-08,2.472060,2.531230,2.472060,2.524650,2.286062,10807283
2013-05-09,2.518080,2.537800,2.475350,2.508220,2.271184,9237337
2013-05-10,2.508220,2.541090,2.485210,2.541090,2.300948,9447588
2013-05-13,2.550950,2.629850,2.527940,2.619990,2.372391,19291609
2013-05-14,2.610130,2.613410,2.547670,2.593690,2.348577,10467911
2013-05-15,2.577250,2.643000,2.567390,2.629850,2.381319,11013688
2013-05-16,2.616700,2.675870,2.603550,2.629850,2.381319,14620213
2013-05-17,2.626560,2.672580,2.606840,2.643000,2.393227,12124289
2013-05-20,2.662720,2.794210,2.649570,2.744900,2.485497,22992768
2013-05-21,2.754770,2.810650,2.712030,2.794210,2.530147,16903067
2013-05-22,2.784350,2.787640,2.712030,2.735040,2.476569,13622398
2013-05-23,2.695600,2.751480,2.669300,2.682450,2.428949,12169457
2013-05-24,2.689020,2.744900,2.679160,2.735040,2.476569,9745813
2013-05-27,null,null,null,null,null,null
2013-05-28,2.764630,2.764630,2.675870,2.692310,2.437877,12879651
2013-05-29,null,null,null,null,null,null
2013-05-30,2.735040,2.761340,2.715320,2.741620,2.482527,6508672
2013-05-31,2.774490,2.899410,2.761340,2.843520,2.574797,22164653
2013-06-03,2.859960,2.886260,2.767920,2.784350,2.521219,11601795
2013-06-04,2.784350,2.807360,2.682450,2.715320,2.458712,10763767
2013-06-05,2.692310,2.738330,2.682450,2.708740,2.452754,8055562
2013-06-06,null,null,null,null,null,null
2013-06-07,2.448720,2.491450,2.350430,2.397440,2.373043,6119460
2013-06-13,2.397440,2.397440,2.299150,2.316240,2.292669,4367881
2013-06-14,null,null,null,null,null,null
2013-06-17,2.354700,2.363250,2.294870,2.341880,2.318048,3021230
2013-06-18,null,null,null,null,null,null
2013-06-19,2.346150,2.346150,2.299150,2.333330,2.309585,5983511
2013-06-20,null,null,null,null,null,null
2013-06-21,null,null,null,null,null,null
2013-06-24,null,null,null,null,null,null
2013-06-25,null,null,null,null,null,null
2013-06-26,null,null,null,null,null,null
2013-06-27,null,null,null,null,null,null
2013-06-28,2.042740,2.072650,2.000000,2.042740,2.021952,4088850
2013-07-01,null,null,null,null,null,null
2013-07-02,2.085470,2.106840,2.068380,2.089740,2.068474,2715549
2013-07-03,2.085470,2.111110,2.029910,2.102560,2.081163,3023411
2013-07-04,null,null,null,null,null,null
2013-07-05,2.286320,2.286320,2.170940,2.175210,2.153074,4266754
2013-07-08,2.153850,2.200850,2.064100,2.081200,2.060021,2863968
2013-07-09,2.081200,2.132480,2.059830,2.102560,2.081163,1311708
2013-07-10,null,null,null,null,null,null
2013-07-11,2.158120,2.226500,2.153850,2.209400,2.186916,4586725
2013-07-12,2.213680,2.230770,2.162390,2.162390,2.140385,2786236
2013-07-15,2.162390,2.209400,2.145300,2.196580,2.174227,3725224
2013-07-16,null,null,null,null,null,null
2013-07-17,2.256410,2.478630,2.247860,2.474360,2.449180,36189296
2013-07-18,2.435900,2.521370,2.410260,2.474360,2.449180,23365162
2013-07-19,null,null,null,null,null,null
2013-07-22,2.320510,2.431620,2.230770,2.405980,2.381496,10505343
2013-07-23,null,null,null,null,null,null
2013-07-24,null,null,null,null,null,null
2013-07-25,null,null,null,null,null,null
2013-07-26,2.350430,2.380340,2.286320,2.350430,2.326511,6682879
2013-07-29,null,null,null,null,null,null
2013-07-30,2.299150,2.341880,2.256410,2.299150,2.275753,4798285
2013-07-31,2.299150,2.367520,2.299150,2.320510,2.296896,4123248
2013-08-01,null,null,null,null,null,null
2013-08-02,null,null,null,null,null,null
2013-08-05,null,null,null,null,null,null
2013-08-06,null,null,null,null,null,null
2013-08-07,null,null,null,null,null,null
2013-08-08,null,null,null,null,null,null
2013-08-09,2.427350,2.542740,2.414530,2.478630,2.453407,12928608
2013-08-12,2.478630,2.542740,2.457260,2.512820,2.487248,7702777
2013-08-13,2.538460,2.709400,2.538460,2.645300,2.618380,19463865
2013-08-14,2.628210,2.688030,2.568380,2.585470,2.559159,14837474
2013-08-15,null,null,null,null,null,null
2013-08-16,null,null,null,null,null,null
2013-08-19,2.444440,2.521370,2.423080,2.517090,2.491475,5537296
2013-08-20,2.500000,2.572650,2.500000,2.538460,2.512628,7518333
2013-08-21,2.538460,2.666670,2.521370,2.619660,2.593001,11796572
2013-08-22,null,null,null,null,null,null
2013-08-23,null,null,null,null,null,null
2013-08-26,2.534190,2.581200,2.529910,2.547010,2.521091,10892204
2013-08-27,null,null,null,null,null,null
2013-08-28,2.564100,2.602560,2.534190,2.542740,2.516864,7330190
2013-08-29,2.542740,2.568380,2.542740,2.559830,2.533780,4887034
2013-08-30,2.602560,2.799150,2.602560,2.675210,2.647986,38845970
2013-09-02,null,null,null,null,null,null
2013-09-03,2.991450,3.183760,2.948720,3.123930,3.092139,75202487
2013-09-04,3.042740,3.294870,3.038460,3.282050,3.248650,54321623
2013-09-05,null,null,null,null,null,null
2013-09-06,null,null,null,null,null,null
2013-09-09,3.290600,3.354700,3.123930,3.222220,3.189429,76939815
2013-09-10,null,null,null,null,null,null
2013-09-11,null,null,null,null,null,null
2013-09-12,3.119660,3.141030,3.021370,3.038460,3.007539,32411055
2013-09-13,3.055560,3.136750,3.051280,3.068380,3.037155,18092878
2013-09-16,null,null,null,null,null,null
2013-09-17,3.076920,3.085470,2.974360,2.974360,2.944092,15577621
2013-09-18,null,null,null,null,null,null
2013-09-23,3.162390,3.213680,3.115380,3.175210,3.142898,18044330
2013-09-24,null,null,null,null,null,null
2013-09-25,3.179490,3.239320,3.162390,3.188030,3.155587,13185154
2013-09-26,null,null,null,null,null,null
2013-09-27,3.213680,3.213680,3.106840,3.200850,3.168277,17001998
2013-09-30,3.209400,3.264960,3.162390,3.192310,3.159824,18031584
2013-10-08,3.192310,3.192310,3.192310,3.192310,3.159824,0
2013-10-09,3.333330,3.619660,3.286320,3.534190,3.498224,52024902
2013-10-10,3.529910,3.888890,3.384620,3.786320,3.747789,69338349
2013-10-11,null,null,null,null,null,null
2013-10-14,null,null,null,null,null,null
2013-10-15,3.816240,3.867520,3.782050,3.850430,3.811246,22214795
2013-10-16,3.850430,3.876070,3.619660,3.658120,3.620893,25008348
2013-10-17,null,null,null,null,null,null
2013-10-18,null,null,null,null,null,null
2013-10-21,null,null,null,null,null,null
2013-10-22,null,null,null,null,null,null
2013-10-23,3.760680,3.876070,3.504270,3.576920,3.540520,16355510
2013-10-24,3.581200,3.709400,3.581200,3.649570,3.612430,8298911
2013-10-25,3.653850,3.666670,3.495730,3.568380,3.532067,10994446
2013-10-28,null,null,null,null,null,null
2013-10-29,null,null,null,null,null,null
2013-10-30,null,null,null,null,null,null
2013-10-31,3.632480,3.649570,3.448720,3.448720,3.413624,27770549
2013-11-01,3.329060,3.371790,3.213680,3.290600,3.257113,15086675
2013-11-04,3.264960,3.329060,3.247860,3.282050,3.248650,5257014
2013-11-05,null,null,null,null,null,null
2013-11-06,3.290600,3.350430,3.256410,3.320510,3.286719,7603776
2013-11-07,3.333330,3.333330,3.115380,3.175210,3.142898,14303886
2013-11-08,null,null,null,null,null,null
2013-11-11,3.205130,3.205130,3.119660,3.153850,3.121755,9986699
2013-11-12,3.132480,3.145300,3.064100,3.128210,3.096376,6629644
2013-11-13,3.106840,3.196580,3.055560,3.136750,3.104829,6391981
2013-11-14,3.089740,3.145300,3.072650,3.111110,3.079450,6389087
2013-11-15,null,null,null,null,null,null
2013-11-18,null,null,null,null,null,null
2013-11-19,3.269230,3.320510,3.213680,3.247860,3.214808,6659970
2013-11-20,null,null,null,null,null,null
2013-11-21,3.247860,3.260680,3.145300,3.196580,3.164050,15235522
2013-11-22,null,null,null,null,null,null
2013-11-25,3.192310,3.217950,3.128210,3.166670,3.134445,9236979
2013-11-26,3.192310,3.192310,3.089740,3.111110,3.079450,7688545
2013-11-27,null,null,null,null,null,null
2013-11-28,3.209400,3.290600,3.209400,3.226500,3.193666,10784665
2013-11-29,null,null,null,null,null,null
2013-12-02,3.162390,3.205130,3.034190,3.111110,3.079450,17713746
2013-12-03,3.106840,3.175210,3.059830,3.153850,3.121755,7999938
2013-12-04,3.141030,3.226500,3.106840,3.183760,3.151361,12932478
2013-12-05,3.162390,3.230770,3.153850,3.200850,3.168277,7727511
2013-12-06,3.247860,3.320510,3.222220,3.273500,3.240187,14950503
2013-12-09,3.273500,3.307690,3.230770,3.277780,3.244424,10297465
2013-12-10,3.277780,3.388890,3.247860,3.303420,3.269803,19082312
2013-12-11,3.290600,3.303420,3.136750,3.183760,3.151361,17295574
2013-12-12,3.170940,3.200850,3.141030,3.183760,3.151361,6491785
2013-12-13,null,null,null,null,null,null
2013-12-16,null,null,null,null,null,null
2013-12-17,3.158120,3.166670,3.098290,3.153850,3.121755,4833123
2013-12-18,null,null,null,null,null,null
2013-12-19,3.162390,3.183760,3.123930,3.128210,3.096376,3441244
2013-12-20,3.132480,3.136750,3.047010,3.055560,3.024466,4643021
2013-12-23,3.072650,3.089740,3.017090,3.042740,3.011776,3213562
2013-12-24,3.021370,3.089740,3.021370,3.064100,3.032918,4611328
2013-12-25,null,null,null,null,null,null
2013-12-26,null,null,null,null,null,null
2013-12-27,3.064100,3.128210,3.047010,3.119660,3.087913,4283775
2013-12-30,null,null,null,null,null,null
2013-12-31,3.200850,3.247860,3.170940,3.226500,3.193666,8462156
2014-01-02,3.226500,3.252140,3.209400,3.239320,3.206355,6990841
2014-01-03,3.235040,3.256410,3.192310,3.205130,3.172513,9448220
2014-01-06,3.196580,3.196580,3.089740,3.089740,3.058298,4930782
2014-01-07,null,null,null,null,null,null
2014-01-08,3.081200,3.111110,3.068380,3.098290,3.066761,3677846
2014-01-09,3.111110,3.119660,3.051280,3.064100,3.032918,3923237
2014-01-10,null,null,null,null,null,null
2014-01-13,null,null,null,null,null,null
2014-01-14,2.905980,2.961540,2.841880,2.948720,2.918713,3525772
2014-01-15,null,null,null,null,null,null
2014-01-16,null,null,null,null,null,null
2014-01-17,3.038460,3.038460,2.987180,3.004270,2.973697,3586785
2014-01-20,null,null,null,null,null,null
2014-01-21,2.940170,3.025640,2.927350,3.012820,2.982160,3106191
2014-01-22,null,null,null,null,null,null
2014-01-23,3.115380,3.175210,3.102560,3.149570,3.117519,6410949
2014-01-24,3.158120,3.183760,3.132480,3.175210,3.142898,5142129
2014-01-27,3.170940,3.222220,3.132480,3.192310,3.159824,5212046
2014-01-28,null,null,null,null,null,null
2014-01-29,3.205130,3.209400,3.166670,3.179490,3.147134,3104614
2014-01-30,3.170940,3.196580,3.128210,3.153850,3.121755,2602246
2014-02-07,3.153850,3.196580,3.132480,3.192310,3.159824,4230970
