Date,Open,High,Low,Close,Adj Close,Volume
2012-07-10,8.222220,8.391110,7.288890,7.306670,7.087996,54430911
2012-07-11,6.844440,7.146670,6.586670,6.986670,6.777573,31655925
2012-07-12,7.408890,7.684440,7.364440,7.684440,7.454461,36238201
2012-07-13,7.377780,7.666670,7.191110,7.440000,7.217336,29848028
2012-07-16,7.368890,7.844440,7.208890,7.493330,7.269070,26859928
2012-07-17,7.288890,7.435560,6.817780,7.222220,7.006074,19038593
2012-07-18,7.111110,7.111110,6.613330,6.844440,6.639600,17774500
2012-07-19,6.728890,7.168890,6.622220,6.977780,6.768949,19182730
2012-07-20,6.853330,7.102220,6.777780,6.840000,6.635293,12814877
2012-07-23,6.711110,7.111110,6.675560,7.080000,6.868110,12389731
2012-07-24,7.026670,7.275560,7.000000,7.040000,6.829307,13710848
2012-07-25,6.982220,7.728890,6.933330,7.280000,7.062125,18347396
2012-07-26,7.222220,7.488890,7.120000,7.346670,7.126800,15106997
2012-07-27,7.324440,7.466670,6.933330,7.031110,6.820683,14558393
2012-07-30,6.933330,7.080000,6.760000,6.844440,6.639600,8653964
2012-07-31,6.831110,7.004440,6.671110,6.768890,6.566311,5599755
2012-08-01,6.737780,7.057780,6.737780,6.880000,6.674096,7116224
2012-08-02,6.835560,6.991110,6.800000,6.951110,6.743078,7040565
2012-08-03,6.933330,7.244440,6.888890,7.226670,7.010390,10259559
2012-08-06,7.124440,7.346670,7.088890,7.315560,7.096621,8965656
2012-08-07,7.266670,7.315560,7.146670,7.275560,7.057817,10779185
2012-08-08,7.266670,7.320000,6.902220,6.982220,6.773257,9450232
2012-08-09,6.937780,7.537780,6.857780,7.364440,7.144037,11999063
2012-08-10,7.337780,7.448890,7.111110,7.200000,6.984519,9685348
2012-08-13,7.137780,7.417780,7.133330,7.208890,6.993143,9986794
2012-08-14,7.222220,7.440000,6.955560,7.426670,7.204405,12132522
2012-08-15,7.382220,7.706670,7.271110,7.440000,7.217336,14530288
2012-08-16,7.386670,7.480000,7.155560,7.231110,7.014698,8622943
2012-08-17,7.168890,7.306670,7.075560,7.262220,7.044876,5247873
2012-08-20,7.200000,7.315560,7.044440,7.222220,7.006074,5836471
2012-08-21,7.177780,7.480000,7.177780,7.342220,7.122482,8042303
2012-08-22,7.582220,7.706670,7.342220,7.422220,7.200089,13033980
