date,open,high,low,close,volume,acount
2011/10/10,21.96,22.16,21.74,21.75,639159,13992893.00
2011/10/11,22.48,22.49,21.70,21.72,985207,21630614.00
2011/10/12,21.40,22.26,20.94,22.17,2154380,46758900.00
2011/10/13,21.99,22.22,21.86,21.96,2787355,61359304.00
2011/10/14,21.96,22.02,21.70,21.90,1396072,30531608.00
2011/10/17,21.94,22.25,21.81,21.85,1801861,39564884.00
2011/10/18,21.56,21.62,20.88,20.89,2181313,46121632.00
2011/10/19,20.80,20.99,20.50,20.60,1407042,29051752.00
2011/10/20,20.51,20.52,19.72,19.82,1749260,34919476.00
2011/10/21,19.83,19.96,19.56,19.60,979990,19340562.00
2011/10/24,19.62,19.87,19.25,19.77,1533643,30064234.00
2011/10/25,19.77,20.14,19.35,20.12,2850668,56513028.00
2011/10/26,19.95,20.37,19.81,20.18,2702680,54222272.00
2011/10/27,20.09,20.28,19.91,19.99,1831926,36752352.00
2011/10/28,20.22,20.39,20.13,20.37,2571955,52119868.00
2011/10/31,20.20,20.98,20.03,20.69,3131956,64598204.00
2011/11/01,20.45,21.21,20.38,21.05,3966238,82412536.00
2011/11/02,20.69,21.04,20.41,20.98,2793434,57856060.00
2011/11/03,21.01,21.48,21.01,21.21,4084549,87015296.00
2011/11/04,21.35,21.78,21.11,21.73,4051821,87005480.00
2011/11/07,21.60,21.80,21.31,21.35,2797963,60198388.00
2011/11/08,21.35,21.62,20.91,20.93,1975109,41996244.00
2011/11/09,20.94,21.49,20.52,21.22,3650924,76353568.00
2011/11/10,20.86,21.72,20.81,21.39,4377221,93598456.00
2011/11/11,21.12,21.48,21.03,21.12,1978968,42012044.00
2011/11/14,21.30,21.78,21.29,21.68,3080177,66610272.00
2011/11/15,21.70,21.96,21.56,21.75,2509604,54544440.00
2011/11/16,21.75,22.06,21.31,21.34,3753763,81611384.00
2011/11/17,21.29,21.59,21.16,21.20,1705998,36448504.00
2011/11/18,21.22,21.24,20.17,20.20,2433519,50327024.00
2011/11/21,20.21,20.43,20.03,20.33,852696,17283030.00
2011/11/22,20.27,20.27,19.84,20.07,998527,20012932.00
2011/11/23,20.19,20.73,20.05,20.56,2395994,49011460.00
2011/11/24,20.40,20.78,20.21,20.68,1509264,31039566.00
2011/11/25,20.73,21.27,20.57,20.95,1968512,41422188.00
2011/11/28,20.95,21.22,20.86,21.18,1531359,32255562.00
2011/11/29,21.36,21.49,21.10,21.44,2003310,42706660.00
2011/11/30,21.44,21.44,20.05,20.15,2369275,48965840.00
2011/12/01,20.80,21.98,20.52,21.60,7411182,158566176.00
2011/12/02,21.53,22.33,21.37,22.14,9880485,215910192.00
2011/12/05,22.30,22.40,21.74,22.09,8686385,192093296.00
2011/12/06,22.38,22.38,21.45,22.05,7961853,175500240.00
2011/12/07,22.15,22.27,21.62,22.25,6972056,154060496.00
2011/12/08,22.40,22.70,21.49,21.50,10527373,231421296.00
2011/12/09,21.20,21.20,20.05,20.44,6557052,133950576.00
2011/12/12,20.58,20.60,19.81,20.28,4651435,93569336.00
2011/12/13,20.19,20.19,19.82,20.03,4070893,81626304.00
2011/12/14,19.83,20.65,18.98,19.08,5219716,104085304.00
2011/12/15,18.88,18.88,17.33,17.38,4227911,75324512.00
2011/12/16,17.47,17.67,16.99,17.62,2573669,44652380.00
2011/12/19,17.57,17.57,17.07,17.43,1885633,32570216.00
2011/12/20,17.40,17.60,17.25,17.35,1615352,28250284.00
2011/12/21,17.50,17.80,16.81,16.84,1580792,27488398.00
2011/12/22,16.59,16.70,16.04,16.40,2015616,33026002.00
2011/12/23,16.49,16.74,16.39,16.55,1293350,21444778.00
2011/12/26,16.41,16.70,16.20,16.35,824256,13596122.00
2011/12/27,16.32,16.66,16.00,16.03,1347331,21993476.00
2011/12/28,16.00,16.00,15.19,15.53,2494177,38611344.00
2011/12/29,15.45,15.63,15.31,15.34,1661061,25748442.00
2011/12/30,15.47,15.69,15.32,15.64,2392631,37271876.00
2012/01/04,15.70,15.87,15.44,15.50,1614038,25367620.00
2012/01/05,15.37,15.61,15.22,15.25,1314517,20279052.00
2012/01/06,15.32,15.75,15.23,15.68,1622842,25309612.00
2012/01/09,15.72,16.28,15.54,16.26,1764724,28133504.00
2012/01/10,16.18,17.05,16.02,16.83,4553329,75736472.00
2012/01/11,16.71,16.78,16.42,16.44,4263037,70513792.00
2012/01/12,16.34,16.64,16.09,16.20,3227131,52806708.00
2012/01/13,16.21,16.34,15.56,15.71,2285308,36225812.00
2012/01/16,15.67,15.68,14.99,15.00,2167589,33094884.00
2012/01/17,14.91,15.80,14.91,15.78,2399961,36998804.00
2012/01/18,15.80,15.88,15.27,15.28,2042784,31826122.00
2012/01/19,15.28,15.50,15.11,15.45,1591836,24421062.00
2012/01/20,15.46,15.63,15.44,15.53,1855595,28811000.00
2012/01/30,15.63,15.79,15.29,15.53,2311482,36125976.00
2012/01/31,15.53,15.53,15.26,15.37,1186266,18205724.00
2012/02/01,15.30,15.47,15.24,15.25,1187590,18215460.00
2012/02/02,15.25,15.45,15.21,15.42,1302516,19962648.00
2012/02/03,15.45,15.85,15.40,15.80,4507176,70632048.00
2012/02/06,15.92,15.93,15.65,15.82,3294426,52000512.00
2012/02/07,15.68,15.81,15.32,15.44,2104799,32688440.00
2012/02/08,15.39,15.97,15.34,15.95,3497208,54936768.00
2012/02/09,15.96,16.34,15.91,16.13,5172024,83566408.00
2012/02/10,16.07,16.37,16.00,16.23,4583569,74287872.00
2012/02/13,16.21,16.64,16.14,16.57,5593460,92210368.00
2012/02/14,16.54,16.55,16.25,16.38,3553137,58095100.00
2012/02/15,16.43,16.84,16.40,16.78,4663172,77746320.00
2012/02/16,16.77,16.83,16.52,16.66,4777523,79686912.00
2012/02/17,16.78,16.80,16.38,16.47,3820175,63191268.00
2012/02/20,16.63,16.81,16.41,16.44,3552680,59112788.00
